timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-03-14T09:00:00Z,MSFT,BUY,20,1000,1005,100,10000
2025-03-14T09:02:00Z,MSFT,BUY,50,1000,990,-500,9500
2025-03-14T09:03:00Z,NVDA,BUY,600,1000,1001.6666667,1000,9000
2025-03-14T09:05:00Z,GOOG,BUY,500,1000,994,-3000,8500
2025-03-14T09:07:00Z,AAPL,BUY,10,1000,1002,20,8600
2025-03-14T09:09:00Z,AAPL,SELL,10,1000,999,-10,8590
2025-03-14T09:11:00Z,AMZN,BUY,10,1000,1001,10,8600
2025-03-14T09:13:00Z,AMZN,SELL,10,1000,1003,30,8630
2025-03-14T09:15:00Z,TSLA,BUY,10,1000,998,-20,8610
2025-03-14T09:17:00Z,TSLA,SELL,10,1000,1004,40,8650
