timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-03-18T09:00:00Z,MSFT,BUY,15,1000,1003,45,10000
2025-03-18T09:02:00Z,MSFT,BUY,20,1000,999,-20,9980
2025-03-18T09:04:00Z,NVDA,BUY,18,1000,1002,36,10016
2025-03-18T09:06:00Z,AAPL,SELL,12,1000,998,-24,9992
2025-03-18T09:08:00Z,GOOG,BUY,20,1000,1002,40,10032
2025-03-18T09:10:00Z,GOOG,BUY,160,1000,996,-640,9392
2025-03-18T09:12:00Z,NVDA,BUY,220,1000,1001.5,330,9722
2025-03-18T09:14:00Z,AAPL,BUY,20,1000,1001,20,9742
2025-03-18T09:16:00Z,MSFT,SELL,20,1000,999.5,-10,9732
2025-03-18T09:18:00Z,TSLA,BUY,20,1000,1002.5,50,9782
2025-03-18T09:20:00Z,TSLA,BUY,250,1000,990,-2500,7282
2025-03-18T09:22:00Z,AMZN,BUY,20,1000,1001,20,7302
