timestamp,asset,price,size_usd,side,pnl,balance,is_revenge,is_overtrading,is_loss_aversion,is_blocked_bias,is_blocked_risk,blocked_reason,checkmated_day,simulated_pnl,simulated_daily_pnl,simulated_equity
2025-03-01 09:30:00,NFLX,1754.2560657339843,7017.024262935937,Sell,7.364872746465153,10007.364872746464,False,False,False,False,False,NONE,False,7.364872746465153,7.364872746465153,7.364872746465153
2025-03-01 09:31:00,NVDA,1294.3103418670944,46595.1723072154,Buy,57.86256087941729,10065.227433625882,False,False,False,False,False,NONE,False,57.86256087941729,65.22743362588244,65.22743362588244
2025-03-01 09:32:00,AMZN,1966.2724934208509,349996.50382891146,Buy,604.0980142887765,10669.32544791466,False,False,False,False,False,NONE,False,604.0980142887765,669.325447914659,669.325447914659
2025-03-01 09:33:00,NFLX,2536.847036885663,332326.9618320218,Sell,-221.55045772153107,10447.774990193127,False,False,False,False,False,NONE,False,-221.55045772153107,447.7749901931279,447.7749901931279
2025-03-01 09:34:00,TSLA,915.8562134054976,915.8562134054976,Sell,-0.8245685049341773,10446.950421688194,False,False,False,False,False,NONE,False,-0.8245685049341773,446.9504216881937,446.9504216881937
2025-03-01 09:35:00,AMZN,591.9385843197384,10062.955933435553,Buy,-42.81818990253339,10404.13223178566,False,False,False,False,False,NONE,False,-42.81818990253339,404.13223178566034,404.13223178566034
2025-03-01 09:36:00,AMZN,1009.284768073687,200847.66884666373,Buy,-595.9830702788229,9808.149161506835,False,False,True,False,False,NONE,False,-595.9830702788229,-191.85083849316254,-191.85083849316254
2025-03-01 09:37:00,NFLX,56.08297773407398,3477.144619512587,Buy,-5.495110148802127,9802.654051358037,False,False,False,False,False,NONE,False,-5.495110148802127,-197.34594864196467,-197.34594864196467
2025-03-01 09:38:00,MSFT,464.0446965639435,22274.145435069287,Buy,25.782864805683857,9828.43691616372,False,False,False,False,False,NONE,False,25.782864805683857,-171.5630838362808,-171.5630838362808
2025-03-01 09:39:00,TSLA,2640.3647547178534,163702.6147925069,Buy,62.6646624260984,9891.101578589818,False,False,False,False,False,NONE,False,62.6646624260984,-108.89842141018241,-108.89842141018241
2025-03-01 09:40:00,NFLX,818.6836062809838,56489.16883338788,Sell,-96.22490622361704,9794.8766723662,False,False,False,False,False,NONE,False,-96.22490622361704,-205.12332763379945,-205.12332763379945
2025-03-01 09:41:00,TSLA,3480.3337366239334,511609.05928371823,Buy,-121.43714930843544,9673.439523057765,False,False,False,False,False,NONE,False,-121.43714930843544,-326.5604769422349,-326.5604769422349
2025-03-01 09:42:00,TSLA,629.0187487085916,64788.93111698493,Buy,174.42824739822197,9847.867770455989,False,False,False,False,False,NONE,False,174.42824739822197,-152.13222954401292,-152.13222954401294
2025-03-01 09:43:00,AMZN,2771.2624187009524,304838.8660571048,Sell,-321.31155490496894,9526.556215551018,False,False,False,False,False,NONE,False,-321.31155490496894,-473.4437844489819,-473.4437844489819
2025-03-01 09:44:00,NVDA,2482.403427798094,402149.35530329123,Buy,4.107026138631227,9530.66324168965,False,False,False,False,False,NONE,False,4.107026138631227,-469.33675831035066,-469.33675831035066
2025-03-01 09:45:00,TSLA,1161.3558927162617,205559.99301077833,Buy,462.30325555599006,9992.96649724564,False,False,False,False,False,NONE,False,462.30325555599006,-7.0335027543605975,-7.0335027543605975
2025-03-01 09:46:00,GOOG,1191.05004530258,208433.7579279515,Sell,-92.96134757681216,9900.005149668828,False,False,False,False,False,NONE,False,-92.96134757681216,-99.99485033117276,-99.99485033117276
2025-03-01 09:47:00,AMZN,1994.2529543365108,181477.01884462248,Buy,-76.65140629321195,9823.353743375616,False,False,False,False,False,NONE,False,-76.65140629321195,-176.6462566243847,-176.6462566243847
2025-03-01 09:48:00,MSFT,2990.6906363148264,340938.7325398902,Sell,283.36615257992526,10106.71989595554,False,False,False,False,False,NONE,False,283.36615257992526,106.71989595554055,106.71989595554055
2025-03-01 09:49:00,NVDA,1382.3449572121522,246057.40238376308,Buy,-503.2891784247481,9603.430717530791,False,False,True,False,False,NONE,False,-503.2891784247481,-396.56928246920756,-396.56928246920756
2025-03-01 09:50:00,GOOG,261.0705891685026,23235.28243599673,Buy,-143.1170798505171,9460.313637680276,False,False,False,False,False,NONE,False,-143.1170798505171,-539.6863623197246,-539.6863623197246
2025-03-01 09:51:00,GOOG,1341.7461603129238,206628.90868819028,Buy,-235.80657577824513,9224.50706190203,False,False,False,False,False,NONE,False,-235.80657577824513,-775.4929380979697,-775.4929380979697
